,title,link,description
15,<b>빅 데이터</b>,https://terms.naver.com/entry.naver?docId=2066985&cid=42107&categoryId=42107,"<b>빅데이터</b>에 해당된다. 인터넷 및 스마트 IT 혁명. 스마트폰, 태블릿 PC, 클라우드 네트워킹 등으로 생성되고 확산되는 <b>데이터</b>의 량이 급속히 증가하고 있으며 기업이나 정부는 기존의 체계 및 관리 방법으로... "
16,<b>빅 데이터</b>,https://terms.naver.com/entry.naver?docId=3587127&cid=59277&categoryId=59280, 다양하고 복잡한데다 양도 많아 제대로 관리하기 어려운 <b>데이터</b>.  한마디로 감당하기 힘들 만큼 덩치가 큰 <b>데이터</b>라 하겠다. 정보통신기술이 발달하면서 일정한 형태를 갖추거나 갖추지 않은 정보... 
17,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=6042161&cid=67200&categoryId=67200,"<b>빅데이터</b>는 너무 방대해 기존의 방법이나 도구로 수집·저장·분석 등이 어려운 정형 및 비정형 <b>데이터</b>를 의미합니다. PC와 인터넷, 모바일 기기 이용이 생활화되면서 사람들이 도처에 남긴 발자국(<b>데이터</b>)은... "
18,<b>빅 데이터</b>,https://terms.naver.com/entry.naver?docId=3431332&cid=58430&categoryId=58430,"최근에 IT 분야의 10대 핵심 기술로 꾸준히 선정되고 있고 있는 <b>빅 데이터</b>는 <b>데이터</b>베이스 주요 기술 중 하나다. 그리고 이제 IT 분야에만 국한되지 않고 정치, 경제, 문화 등 사회 전반에 걸쳐 자주 언급되고... "
19,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=4357117&cid=43665&categoryId=43665," 대용량의 <b>데이터</b>를 저장, 수집, 발굴, 분석, 비즈니스화 하는 일련의 과정을 말한다.  대용량의 <b>데이터</b>를 저장, 수집, 발굴, 분석, 비즈니스화 하는 일련의 과정을 말한다. 과거 <b>데이터</b>의 개념은 단순한 저장이나... "
20,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=1691553&cid=42171&categoryId=42183,디지털 경제의 확산으로 규모를 가늠할 수 없을 정도로 많은 정보가 생산되는 '<b>빅데이터</b>(Big Data)' 환경이 도래했다. <b>빅데이터</b>는 미래 경쟁력을 좌우하는 핵심 '자원'이므로 기업뿐 아니라 공공 부문도 정확한... 
21,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=4188003&cid=58367&categoryId=58367,[<b>빅데이터</b>] (동영상 출처 : 국립중앙과학관 - <b>빅데이터</b>)
22,국립중앙과학관 <b>빅데이터</b>,https://terms.naver.com/list.naver?categoryId=58370,
23,<b>빅 데이터</b>,https://ko.wikipedia.org/wiki/%EB%B9%85_%EB%8D%B0%EC%9D%B4%ED%84%B0,<b>빅 데이터</b> ( 영어: big data )란 기존 <b>데이터</b>베이스 관리도구의 능력을 넘어서는 대량(수십 테라바이트)의 정형 또는 심지어 <b>데이터</b>베이스 형태가 아닌 비정형의 <b>데이터</b> 집합조차 포함한 <b>데이터</b>로부터... 
24,<b>빅데이터</b>,https://terms.naver.com/tlist/list.naver?listId=858799,<b>빅데이터</b> 지식
25,<b>빅데이터</b>,https://terms.naver.com/tlist/list.naver?listId=774463,책임
26,<b>빅데이터</b>,https://terms.naver.com/tlist/list.naver?listId=589626,
27,ICT,https://terms.naver.com/entry.naver?docId=2275655&cid=42219&categoryId=51195,"특히 최근에는 <b>빅데이터</b>, 모바일, 웨어러블이 새로운 화두가 되고 있다. 더 나아가 사물 인터넷은 인간과 인간 사이의 연결뿐만 아니라 인간과 사물의 연결, 사물과 사물의 연결도 가능하게 한다.... "
28,사물인터넷,https://terms.naver.com/entry.naver?docId=3581913&cid=42171&categoryId=58698,"세상의 모든 사물들이 네트워크로 ‘연결’되어 서로 소통하는 사물인터넷은 인터넷 등장 이후 가장 획기적인 변화다.4차 산업혁명은 사물인터넷으로 <b>빅데이터</b>를 얻고, 그것을 클라우드에 저장해... "
29,<b>빅데이터</b> 분석 기술,https://terms.naver.com/entry.naver?docId=3331553&cid=57613&categoryId=57613,"<b>빅데이터</b> 분석이란 소셜 <b>빅데이터</b>, 실시간 사물지능통신(M2M：Machine to Machine) 센서 <b>데이터</b>, 기업 고객관계 <b>데이터</b> 등 도처에 존재하는 다양한 성격의 <b>빅데이터</b>를 효과적으로 분석하는 것을 말한다.... "
30,<b>빅데이터</b>를 보면 소비자의 마음이 보인다,https://terms.naver.com/entry.naver?docId=3579077&cid=58784&categoryId=58786,"<b>빅 데이터</b> &#60;출처: By DARPA @Wikimedia Commons&#62; <b>빅데이터</b> 시대가 오고 있다. 스마트폰 등 모바일 IT 기기의 확산에 이어 사물인터넷(Internet of Things, IoT), 사물통신(Machine to Machine, M2M) 등 모든 것이... "
31,<b>빅데이터</b> 활용,https://terms.naver.com/entry.naver?docId=3378764&cid=42266&categoryId=58296,"디지털 공간에서 <b>데이터</b> 폭발이 현실화되어 <b>빅데이터</b>는 차세대 정보통신 기술의 핵심이 되었다. 규모, 다양성, 속도, 가치라는 <b>빅데이터</b>의 특성을 고려해 융합적 맥락과 인문사회적 지식을 바탕으로... "
32,연산 가능한 사회현상으로서 SNS,https://terms.naver.com/entry.naver?docId=1526251&cid=42171&categoryId=42191,이런 관점은 기존의 사회과학 연구에서는 다루지 못했던 대규모의 <b>데이터</b>를 컴퓨터로 연산함으로써 독특한 규칙성이나 패턴을 찾아내고자 한다. SNS는 이런 <b>빅데이터</b>의 유력한 소스 중 하나이며... 
33,<b>데이터</b> 저널리즘의 역사와 배경,https://terms.naver.com/entry.naver?docId=2275479&cid=42192&categoryId=51146,"저널리즘은 <b>빅데이터</b>의 해석자로, <b>빅데이터</b>는 저널리즘의 취재원으로 <b>빅데이터</b> 저널리즘이 탄생했다. - 사이먼 로저스 [<b>데이터</b> 저널리즘의 발생 배경] <b>데이터</b> 저널리즘이 발생한 배경을 알기... "
34,디지털 시대 지식과 정보의 특성,https://terms.naver.com/entry.naver?docId=2268419&cid=42171&categoryId=42176,"[디지털과 비트] 정보사회의 지식은 비트로 만들어진다. 비트는 물질과 달리 자연의 구성 부분도 아니고, 자연의 산물도 아니다. 비트는 사람들이 자신의 활동으로 빚어낸 기호의 조합체다. 물질세계가... "
35,살아 숨 쉬는 모든 것이 <b>데이터</b>가 되는 세상,https://terms.naver.com/entry.naver?docId=3409692&cid=60335&categoryId=60335,<b>빅데이터</b>의 힘이다. 영화 ‘마이터리티 리포트’에서는 예지몽을 꾸는 세 자매가 범죄가 일어나기... 로스엔젤레스 경찰청(LAPD)은 <b>빅데이터</b>를 분석해 범죄 발생 가능성을 점치는 범죄 예측 프로그램(Predictive... 
36,"<b>빅데이터</b>, <b>데이터</b> 브로커들과 개인 정보",https://terms.naver.com/entry.naver?docId=3581933&cid=42238&categoryId=58700,"디지털 정보는 일단 수집되고 나면 디지털 포렌식에 의해서도 그 유출의 경로와 방향, 내용을 파악하는 것이 쉽지 않다.디지털 <b>데이터</b> 브로커들이 <b>빅데이터</b> 산업이라는 이름으로 수집한 이런 정보를... "
37,<b>빅데이터</b>와 평판,https://terms.naver.com/entry.naver?docId=3556168&cid=42251&categoryId=58632,<b>빅데이터</b>를 분석하면 객관적인 의사결정을 할 수 있다. 하루에도 엄청난 양의 <b>데이터</b>가 쏟아지고 있지만 아직도 많은 사람들이 이런 <b>데이터</b>를 유용한 정보로 활용하기보다는 과거의 경험과 직관이 더 쓸모... 
38,"정보의 홍수, <b>빅데이터</b>(BIG DATA)란?",http://www.edunet.net/nedu/contsvc/viewWkstCont.do?clss_id=CLSS0000000362&menu_id=81&contents_id=1712f06a-877a-48f6-82ff-79d0fce5c506&svc_clss_id=CLSS0000018019&contents_openapi=naverdic,<b>빅데이터</b>BIG DATA란 Flood of information Whats BIG DATA 발달하는 정보화 사회 오늘날 우리는 고도로 정보화된... <b>빅데이터</b>Big Data 오늘날 과거보다 현저히 많은 정보가 만들어지고 있는 주요한 이유는 카메라 GPS 각종... 
39,컴퓨테이셔널 저널리즘 정보 수집,https://terms.naver.com/entry.naver?docId=3546328&cid=42192&categoryId=58566,또 <b>빅데이터</b> 활용으로 기존 저널리즘에서는 볼 수 없던 자료 수집 및 분석 방법이 필요해졌고 다양한 정보원에 보다 심층적으로 접근할 수 있게 되었다. [자동화된 정보수집] 뉴스 제작에 필수적인 정보와... 
40,<b>데이터</b>베이스 응용 기술 요약,https://terms.naver.com/entry.naver?docId=3431336&cid=58430&categoryId=58430,객체지향 <b>데이터</b>베이스 객체지향 개념에 기반을 둔 객체지향 <b>데이터</b> 모델을 지원하는 <b>데이터</b>베이스다. • 객체 : 현실 세계에 존재하는 개체를 추상적으로 표현한 것 • 객체 식별자(OID) : 각 객체를 유일하게... 
41,<b>빅데이터</b>(Big data),https://terms.naver.com/entry.naver?docId=1976208&cid=43659&categoryId=43659,"1880년대 미국에서 나온 용어며, 시대에 따라 <b>빅데이터</b>의 개념은 바뀌고 있다. <b>빅</b> 테이터가 주목받는 이유는 기업이나 정부, 포털 등이 <b>빅데이터</b>를 효과적으로 분석함으로써 미래를 예측해 최적의 대응방안을... "
42,미디어백과: <b>빅데이터</b>,https://terms.naver.com/list.naver?categoryId=42183,"하나의 커뮤니케이션 주제를 10개 항목으로 묶어서 엮은 「커뮤니케이션이해」 총서 『<b>빅데이터</b>』. <b>빅데이터</b>의 정의에서부터 시작하여 활용, 기술, 마이닝, <b>데이터</b> 마이닝, <b>데이터</b> 시각화, 클라우드 컴퓨팅... "
43,<b>빅데이터</b>전문가,https://terms.naver.com/entry.naver?docId=5665207&cid=42117&categoryId=42117, 사람들의 행동패턴 또는 시장의 경제상황 등을 예측하며 <b>데이터</b> 속에 함축된 트렌드나 인사이트를 도출하고 이로부터 새로운 부가가치를 창출하기 위해 대량의 <b>빅데이터</b>를 관리하고 분석한다. [수행직무]... 
44,<b>빅데이터</b> 분석가,https://terms.naver.com/entry.naver?docId=3578105&cid=58886&categoryId=58886,LG CNS의 <b>빅데이터</b> 담당 직원이 하드웨어와 소프트웨어를 결합한 일체형 <b>빅데이터</b> 분석 플랫폼(SBP 어플라이언스)을 점검하고 있다. &#60;제공: LG CNS&#62; 지구촌은 인터넷과 모바일 기기로 실시간 끊임없이 소통하고... 
45,<b>빅데이터</b>와 경영,https://terms.naver.com/entry.naver?docId=3386336&cid=58370&categoryId=58370,"[ 1. 기업경영에 있어서 <b>데이터</b>의 중요성은?] 기업 <b>데이터</b>는 조직 경험의 집합체이자 고객과 나눈 상호작용 역사이기 때문에 값으로 따질 수 없는 중요한 전략적 자산이다.예컨대, 고객의 반응이나 무반응... "
46,<b>빅데이터</b>와 과학,https://terms.naver.com/entry.naver?docId=3386337&cid=58370&categoryId=58370,[ 1. 연구 환경 및 연구 패러다임의 변화] IT 정보기술의 발달과 첨단 연구 장비로 인해 많은 양의 과학기술 <b>빅데이터</b>를 생산하고 연구 · 개발을 수행할 수 있는 연구 환경이 구축되었다.연구자의 연구... 
47,<b>빅데이터</b>와 건강,https://terms.naver.com/entry.naver?docId=3386338&cid=58370&categoryId=58370,"[ 1. 의료<b>데이터</b>의 특징] 의료 <b>데이터</b>의 80%는 비구조적 <b>데이터</b>이고 치료에 관련된 정보다. 이러한 <b>데이터</b>는 개인 EMR(Electronic Medical Record), Imaging 시스템, 의료진 노트, 청구서, 재무 시스템 등 여러... "
48,<b>빅데이터</b> 마이닝,https://terms.naver.com/entry.naver?docId=3579815&cid=58940&categoryId=58952,"<b>빅데이터</b> 마이닝이란 많은 <b>데이터</b>에 숨겨진 패턴과 상관관계를 발견하여 새로운 정보를 발견해 내는 과정입니다. <b>빅데이터</b>를 통해 바이러스, 음식, 범죄, 우주 등에 관한 놀라운 사실들을 밝히고 <b>데이터</b> 뒤에... "
49,지진과 <b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3579705&cid=59086&categoryId=59094,휴대전화 GPS 정보로 도로에 있는 사람 수를 분석하는 기술. 재난 시 사람들이 어떻게 대피했는지 시간대별로 알 수 있다. &#60;출처: MIT&#62; ‘쾅’ 굉음과 함께 모든 것이 흔들렸다. 어리둥절해하는 순간... 
50,<b>빅데이터</b> 기술,https://terms.naver.com/entry.naver?docId=1691556&cid=42171&categoryId=42183,구글은 <b>빅데이터</b>를 효과적으로 처리하기 위한 전략으로 컴퓨터 장비는 가능한 한 값싼 것을 사용하고... 이 과정에서 <b>빅데이터</b> 처리 기술인 분산파일 시스템과 맵리듀스가 새롭게 개발되었다. [1. 구글의... 
51,<b>빅데이터</b>전문가,https://terms.naver.com/entry.naver?docId=5754032&cid=47305&categoryId=47305, &quot;대용량의 <b>데이터</b>를 분석하여 활용해요.&quot;. [어떤 일을 하나요?] · 분석목표에 따라 <b>빅데이터</b>의 분석방법을 기획합니다. · 분석할 <b>빅데이터</b>자원을 수집하여 프로그램을 만들고 통계학적으로 분석합니다.... 
52,<b>빅 데이터</b> 전문가,https://terms.naver.com/entry.naver?docId=5759085&cid=64518&categoryId=64518, <b>빅 데이터</b>를 분석하면 새로운 것들을 발견하고 미래를 예측할 수 있어요. [한눈에 살펴보기] [어떤 일을 하나요?] <b>빅 데이터</b> 전문가는 대량의 <b>빅 데이터</b>로 사람들의 행동이나 시장의 변화 등을 분석하는데... 
53,Q1. <b>빅데이터</b>란?,https://terms.naver.com/entry.naver?docId=6470845&cid=68053&categoryId=68053,[Q1. <b>빅데이터</b>란?] <b>빅데이터</b>란 어떤 <b>데이터</b>를 지칭하는지 살펴본다.(동영상 출처 : 서울대 지식교양 강연 - 생각의 열쇠)
54,<b>빅데이터</b>컨설턴트,https://terms.naver.com/entry.naver?docId=5832732&cid=42117&categoryId=42117," <b>데이터</b>수집시스템을 구축하고 수집된 <b>데이터</b>를 분석하여 활용전략을 수립한다. [수행직무] 고객이 원하는 요구사항을 분석하고 목표를 설정한다. 설정된 목표에 맞춰 Hadoop, Spark 기반 <b>빅데이터</b>플랫폼 및... "
55,<b>빅데이터</b> 분석기사,https://terms.naver.com/entry.naver?docId=6197206&cid=42114&categoryId=42114, <b>빅데이터</b> 분석기사란 응시자격을 갖춘 자가 한국<b>데이터</b>베이스진흥원에서 시행하는 <b>빅데이터</b> 분석기사 시험에 합격하여 그 자격을 취득한 자를 말한다. 응시자는 필기시험과 실기시험을 통과해야 한다.... 
56,<b>빅데이터</b> 표준화,https://terms.naver.com/entry.naver?docId=3386341&cid=58370&categoryId=58370,<b>빅데이터</b> 표준화] <b>빅데이터</b> 분야의 표준화에 대한 논의는 타 기술의 경우와 마찬가지로 다양한 관련 기관의 논의에 의해 진행되고 있다.표준화는 기술 또는 솔루션의 해외 진출 장벽을 제거한다는 측면에서... 
57,<b>빅데이터</b> 분석가,https://ko.wikipedia.org/wiki/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0_%EB%B6%84%EC%84%9D%EA%B0%80,"(부제, <b>빅 데이터</b> 시대의 <b>데이터</b> 과학자 양성 독본), 사토 히로유키, 하라다 히로우에, 시모다 노리히로 외 2명 저 정인식 역, 제이펍(2014년) 외부 링크 한국오라클 공식 홈페이지 (한국어)... "
58,<b>빅데이터</b> 마케팅,https://terms.naver.com/entry.naver?docId=2070422&cid=55570&categoryId=55570,"<b>빅데이터</b>에 의존해 고객의 구매 정보를 분석, 구매할 가능성이 높은 고객을 콕 찍어 마케팅하는 이른바 추천 마케팅이다. ‘마이크로 마케팅(Micro Marketing)’이라고도 한다. <b>빅데이터</b> 마케팅은 전형적인... "
59,<b>빅데이터</b> 마케팅,https://ko.wikipedia.org/wiki/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0_%EB%A7%88%EC%BC%80%ED%8C%85,"<b>빅 데이터</b> 마케팅 은 마이크로 마케팅(Micro marketing)으로서 <b>빅 데이터</b>를 통해 고객의 소비패턴과 선호도, 정보 등을 분석하여, 구매할 가능성이 높은 고객에게 맞춤형 혜택을 제공하는 것을 말한다. 단순히... "
60,<b>빅데이터</b>와 언론,https://terms.naver.com/entry.naver?docId=2275476&cid=42192&categoryId=51146,"최근 사회 전반에서 양질의 <b>데이터</b>가 지속적으로 축적되고 있는 가운데 전 영역에 걸쳐 <b>빅데이터</b>, <b>데이터</b>마이닝 등의 활용이 관심을 끌고 있다. 저널리즘 영역에서도 <b>빅데이터</b>를 활용한 ‘<b>데이터</b> 저널리즘’이... "
61,<b>빅데이터</b> 동영상,https://terms.naver.com/entry.naver?docId=3386343&cid=58370&categoryId=58370,(동영상 출처 : 국립중앙과학관 - <b>빅데이터</b>)
62,<b>빅 데이터</b>의 특징,https://terms.naver.com/entry.naver?docId=3431334&cid=58430&categoryId=58430,"<b>빅 데이터</b>를 단순히 대규모의 <b>데이터</b>로 특징짓기에는 부족한 면이 있다. 대규모의 <b>데이터</b>로부터 정보를 추출하려는 시도는 예전에도 있었기 때문이다. 그래서 <b>빅 데이터</b>의 특징은 <b>데이터</b>양(Volume), 속도... "
63,<b>빅 데이터</b>의 기술,https://terms.naver.com/entry.naver?docId=3431335&cid=58430&categoryId=58430,<b>빅 데이터</b> 기술은 기업이나 공공 기관 등 여러 곳에서 이미 활용되고 있다. 기업은 <b>빅 데이터</b> 기술을 활용해 고객의 성향을 파악하여 행동을 미리 예측해 고객 맞춤형 마케팅 전략을 수립하고 새로운 비즈니스... 
64,<b>빅 데이터</b>의 개념,https://terms.naver.com/entry.naver?docId=3431333&cid=58430&categoryId=58430,현대 사회에서는 <b>데이터</b>를 많이 확보하는 것이 무엇보다 중요하지만 우리 주변에는 이미 엄청난 양의 <b>데이터</b>가 존재한다. 그래서 이러한 <b>데이터</b>로부터 추출할 수 있는 가치 있는 정보의 힘은 상상을... 
65,<b>빅데이터</b> 큐레이터,https://terms.naver.com/entry.naver?docId=2724045&cid=43667&categoryId=43667," 미술관이나 박물관 큐레이터가 안목을 바탕으로 기획전을 여는 것처럼, <b>데이터</b>를 분석·기획하여 비즈니스에 활용하는 사람을 말한다.  | 외국어 표기 | big data curator(영어) | 대용량의 <b>데이터</b> 가운데 가치... "
66,<b>빅데이터</b>분석기사,https://ko.wikipedia.org/wiki/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B8%B0%EC%82%AC,• <b>빅데이터</b> 분석기사란 한국<b>데이터</b>산업진흥원에서 시행하는 <b>빅데이터</b>분석기사 시험에 합격하여 그 자격을 취득한 자를 말한다. <b>빅데이터</b>분석기사 시험은 필기시험과 실기시험으로 이루어지며... 
67,Q9. <b>데이터</b> 과학과 <b>빅데이터</b>란?,https://terms.naver.com/entry.naver?docId=6472783&cid=68053&categoryId=68053,[Q9. <b>데이터</b> 과학과 <b>빅데이터</b>란?] <b>데이터</b> 과학과 <b>빅데이터</b>의 관계와 활약상을 살펴본다.(동영상 출처 : 서울대 지식교양 강연 - 생각의 열쇠)
68,<b>빅데이터</b> 큐레이터,https://terms.naver.com/entry.naver?docId=2070860&cid=42346&categoryId=42346,"<b>빅데이터</b>의 숨은 가치와 잠재력을 발굴할 수 있는 사람(행위). 정보 과잉 시대에 웹상의 수많은... <b>빅데이터</b>를 분석하여 '미래 예측', '숨은 기회 발견', '위험요소 회피', '맞춤형 서비스', '실시간 대응' 등... "
69,<b>빅데이터</b> 처리 기술,https://terms.naver.com/entry.naver?docId=3331548&cid=57613&categoryId=57613,<b>빅데이터</b> 처리 기술이란 말 그대로 엄청난 양의 <b>데이터</b>를 처리하는 기술을 의미한다. 과거에는 <b>데이터</b>를 생성하고 사용하는 주체가 주로 기업이나 관공서였지만 현재는 스마트폰과 같이 주변에서 흔히 볼 수... 
70,<b>빅데이터</b> 수집 기술,https://terms.naver.com/entry.naver?docId=3331544&cid=57613&categoryId=57613,"많은 <b>데이터</b>가 끊임없이 생성되고 있다. 또한, 다양한 분야의 스마트한 기기들은 모바일 기술이... 그런 점에서 우리는 정보의 홍수라 불릴 정도로 다양하고 거대하며 정리되지 않은 수많은 <b>데이터</b> 속에서 일부... "
71,Q3. <b>빅데이터</b>와 <b>데이터</b>의 차이는?,https://terms.naver.com/entry.naver?docId=6470843&cid=68053&categoryId=68053,[Q3. <b>빅데이터</b>와 <b>데이터</b>의 차이는?] 일반적인 <b>데이터</b>에 비교한 <b>빅데이터</b>의 특징을 살펴본다.(동영상 출처 : 서울대 지식교양 강연 - 생각의 열쇠)
72,[조성준 교수_<b>빅데이터</b>4강]기업을 살리는 <b>빅데이터</b>의 힘,https://terms.naver.com/entry.naver?docId=6081972&cid=67345&categoryId=67347,"[[조성준 교수_<b>빅데이터</b>4강]기업을 살리는 <b>빅데이터</b>의 힘] 서울대 산업공학과 조성준 교수의 <b>빅데이터</b> 강의 〈세상을 읽는 새로운 언어, <b>빅데이터</b>〉 4강 국내 최고 <b>빅데이터</b> 전문가 조성준 교수가 말해주는... "
73,"[조성준 교수_<b>빅데이터</b>8강]<b>빅데이터</b>, 거부할 수 없는 미래",https://terms.naver.com/entry.naver?docId=6114567&cid=67345&categoryId=67347,"[[조성준 교수_<b>빅데이터</b>8강]<b>빅데이터</b>, 거부할 수 없는 미래] 서울대 산업공학과 조성준 교수의 <b>빅데이터</b> 강의 〈세상을 읽는 새로운 언어, <b>빅데이터</b>〉 8강 국내 최고 <b>빅데이터</b> 전문가 조성준 교수가 말해주는... "
74,[조성준 교수_<b>빅데이터</b>5강]<b>빅데이터</b>는 어떻게 분석하는가,https://terms.naver.com/entry.naver?docId=6084224&cid=67345&categoryId=67347,"[[조성준 교수_<b>빅데이터</b>5강]<b>빅데이터</b>는 어떻게 분석하는가] 서울대 산업공학과 조성준 교수의 <b>빅데이터</b> 강의 〈세상을 읽는 새로운 언어, <b>빅데이터</b>〉 5강 국내 최고 <b>빅데이터</b> 전문가 조성준 교수가 말해주는... "
75,"<b>빅데이터</b>의 속성 3V, 4V",https://terms.naver.com/entry.naver?docId=3386305&cid=58370&categoryId=58370,"<b>빅데이터</b>의 공통적 속성 3V] <b>빅데이터</b>의 공통적 특징은 3V로 설명할 수 있다. 3V는 <b>데이터</b>의 크기(Volume), <b>데이터</b>의 속도(Velocity), <b>데이터</b>의 다양성(variety)을 나타내며 이러한 세 가지 요소의 측면에서... "
